******************************************************************************************
Pad Opening Locator
******************************************************************************************
Created : Mar 24 14:46:02 2021
Libname : mklib_backup
Cellname : HCCstarTMR


Pad Label Hierarchy : 0
122 bond pad elements found
122 labeled bond pad elements found
0 non-labeled bond pad elements found
******************************************************************************************

******************************************************************************************
Pad Opening Name      X               Y               Area            Width:Height            
R3L1_OUT_padN         4197.410000     2499.210000     18050.000000    190.000000 : 95.000000  
GND                   4197.410000     2339.210000     18050.000000    190.000000 : 95.000000  
DataIn0_padN          4197.410000     2179.210000     18050.000000    190.000000 : 95.000000  
DataIn0_padP          4197.410000     2059.210000     18050.000000    190.000000 : 95.000000  
GND                   4197.410000     1899.210000     18050.000000    190.000000 : 95.000000  
DataIn1_padN          4197.410000     1739.210000     18050.000000    190.000000 : 95.000000  
DataIn1_padP          4197.410000     1619.210000     18050.000000    190.000000 : 95.000000  
GND                   4197.410000     1459.210000     18050.000000    190.000000 : 95.000000  
DataIn2_padN          4197.410000     1299.210000     18050.000000    190.000000 : 95.000000  
DataIn2_padP          4197.410000     1179.210000     18050.000000    190.000000 : 95.000000  
GND                   4197.410000     1019.210000     18050.000000    190.000000 : 95.000000  
DataIn3_padN          4197.410000     859.210000      18050.000000    190.000000 : 95.000000  
DataIn3_padP          4197.410000     739.210000      18050.000000    190.000000 : 95.000000  
CAL_i_pad             4197.410000     579.210000      18050.000000    190.000000 : 95.000000  
GND                   4197.410000     459.210000      18050.000000    190.000000 : 95.000000  
GND                   4162.160000     214.910000      9025.000000     95.000000 : 95.000000   
GND                   3889.210000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   3769.210000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   3649.210000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   3529.210000     178.590000      18050.000000    95.000000 : 190.000000  
DataIn4_padN          3369.210000     178.590000      18050.000000    95.000000 : 190.000000  
DataIn4_padP          3249.210000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   3089.210000     178.590000      18050.000000    95.000000 : 190.000000  
RCLK_padN             2929.210000     178.590000      18050.000000    95.000000 : 190.000000  
RCLK_padP             2809.210000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   2649.210000     178.590000      18050.000000    95.000000 : 190.000000  
LCB_HYB_padN          2489.210000     178.590000      18050.000000    95.000000 : 190.000000  
LCB_HYB_padP          2369.210000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   2209.210000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   2089.210000     178.590000      18050.000000    95.000000 : 190.000000  
PRLP_HYB_padN         1929.210000     178.590000      18050.000000    95.000000 : 190.000000  
PRLP_HYB_padP         1809.210000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   1649.210000     178.590000      18050.000000    95.000000 : 190.000000  
BC_HYB_padN           1489.210000     178.590000      18050.000000    95.000000 : 190.000000  
BC_HYB_padP           1369.210000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   1209.210000     178.590000      18050.000000    95.000000 : 190.000000  
DataIn5_padN          1049.210000     178.590000      18050.000000    95.000000 : 190.000000  
DataIn5_padP          929.210000      178.590000      18050.000000    95.000000 : 190.000000  
GND                   769.210000      178.590000      18050.000000    95.000000 : 190.000000  
GND                   649.210000      178.590000      18050.000000    95.000000 : 190.000000  
GND                   529.210000      178.590000      18050.000000    95.000000 : 190.000000  
GND                   409.210000      178.590000      18050.000000    95.000000 : 190.000000  
