******************************************************************************************
Pad Opening Locator
******************************************************************************************
Created : May 23 11:55:16 2018
Libname : mklib_just_pads
Cellname : HCCstar_padring
Pad Label Hierarchy : 0
110 bond pad elements found
110 labeled bond pad elements found
0 non-labeled bond pad elements found
******************************************************************************************
******************************************************************************************
Pad Opening Name      X               Y               Area            Width:Height            
DataIn8_padN          3433.620000     1299.210000     18050.000000    190.000000 : 95.000000  
DataIn8_padP          3433.620000     1179.210000     18050.000000    190.000000 : 95.000000  
GND                   3433.620000     1019.210000     18050.000000    190.000000 : 95.000000  
DataIn7_padN          3433.620000     859.210000      18050.000000    190.000000 : 95.000000  
DataIn7_padP          3433.620000     739.210000      18050.000000    190.000000 : 95.000000  
CAL_i_pad             3433.620000     579.210000      18050.000000    190.000000 : 95.000000  
GND                   3433.620000     459.210000      18050.000000    190.000000 : 95.000000  
GND                   3398.370000     214.910000      9025.000000     95.000000 : 95.000000   
GND                   3167.000000     178.590000      18050.000000    95.000000 : 190.000000  
DataIn6_padN          3007.000000     178.590000      18050.000000    95.000000 : 190.000000  
DataIn6_padP          2887.000000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   2727.000000     178.590000      18050.000000    95.000000 : 190.000000  
RCLK_padN             2567.000000     178.590000      18050.000000    95.000000 : 190.000000  
RCLK_padP             2447.000000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   2287.000000     178.590000      18050.000000    95.000000 : 190.000000  
LCB_HYB_padN          2127.000000     178.590000      18050.000000    95.000000 : 190.000000  
LCB_HYB_padP          2007.000000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   1847.000000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   1727.000000     178.590000      18050.000000    95.000000 : 190.000000  
PRLP_HYB_padN         1567.000000     178.590000      18050.000000    95.000000 : 190.000000  
PRLP_HYB_padP         1447.000000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   1287.000000     178.590000      18050.000000    95.000000 : 190.000000  
BC_HYB_padN           1127.000000     178.590000      18050.000000    95.000000 : 190.000000  
BC_HYB_padP           1007.000000     178.590000      18050.000000    95.000000 : 190.000000  
GND                   847.000000      178.590000      18050.000000    95.000000 : 190.000000  
DataIn5_padN          687.000000      178.590000      18050.000000    95.000000 : 190.000000  
DataIn5_padP          567.000000      178.590000      18050.000000    95.000000 : 190.000000  
GND                   407.000000      178.590000      18050.000000    95.000000 : 190.000000  
