                    - SPARES  LIST -


                    - PART SUMMARY -

24AA025E48T-I/SN-24AA025E48T-IB	24AA025E48T-I/SN	1
7X2RECPT_SMD_2MM-878321420,7X2B	878321420	1
ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA	ADCLK948BCPZ	2
ATMGA128-ATMEGA128A-MU,ATMGA12A	ATMEGA128A-MU	1
CAPCERSMDCL2_0402-100NF,16V_GEA	CC0402_100NF_16V_10%_X7R	34
CAPCERSMDCL2_0402-100NF,16V_GEN	CC0402_100NF_16V_10%_X7R	39
CAPCERSMDCL2_0402-1NF_X7R,50V	CC0402_1NF_50V_10%_X7R	6
CAPCERSMDCL2_0402-1UF,16V	CC0402_1.0UF_16V_10%_X5R	13
CAPCERSMDCL2_0603-10UF,6.3V	CC0603_10UF_6V3_20%_X5R	8
CAPCERSMDCL2_0603-1UF,16V	CC0603_1UF_16V_10%_X5R	2
CAP_NP-445-7348-2-ND,CAP_NP-44A	445-7348-2-ND	15
CAP_NP-445-8173-1-ND,CAP_NP-44A	445-8173-1-ND	4
CAP_NP-C0402C104K9RACTU,CAP_NPA	C0402C104K9RACTU	3
CAP_NP-GRM152R60J105ME15D,CAP_B	GRM152R60J105ME15D	4
CAP_NP-GRM155R60J474KE19J,CAP_B	GRM155R60J474KE19J	1
CAP_NP-GRM188R60J226MEA0D,CAP_B	GRM188R60J226MEA0D	6
CAP_NP-GRM188R61A106KE69D,CAP_B	GRM188R61A106KE69D	6
CAP_NP-GRM21BR60J476ME15K,CAP_B	GRM21BR60J476ME15K	12
CAP_NP-GRM31CD80J107ME39K,CAP_B	GRM31CD80J107ME39K	2
CAP_NP-GRT155R61E105ME01D,CAP_B	GRT155R61E105ME01D	3
CAP_NP_0-445-7348-2-ND,CAP_NP_A	445-7348-2-ND	19
CON10P-HTST-105-01-L-DV	HTST-105-01-L-DV	1
CON20P_SFP-1367073-1-1367073-1B	1367073-1	3
CON4P-53398-0471	53398-0471	1
CONN30P-FTSH-115-01-L-DV,CONN3B	FTSH-115-01-L-DV	1
DIODE-1N4148W-13-F,DIODE-1N414A	1N4148W-13-F	1
ELCAPTAN_SMD-220UF,25V	597D227X0025M2T	4
FERRITE_SMD-BLM21PG221SN1,MURAA	BLM21PG221SN1	1
FERRITE_SMD-MPZ1608S101A,TDK	MPZ1608S101A	1
HDR1X3-HDR1X3,HDR1X3-HDR1X3,HDA	HDR1x3	1
HDT0001-HDT0001,HDT0001-HDT000A	HDT0001	1
IND-74438323100,IND-7443832310A	74438323100	1
IND-BLM18AG121SN1D,IND-BLM18AGA	BLM18AG121SN1D	4
IND-CIGT201208EH1R0MNE,IND-CIGA	CIGT201208EH1R0MNE	6
INV_1CH_OD-SN74LVC1G06DBVTE4,IB	SN74LVC1G06DBVTE4	1
LED GREEN 0603_0-LNJ326W83RA,LB	LNJ326W83RA	3
LED RED 0603_0-LNJ237W82RA,LEDB	LNJ237W82RA	2
LED_0-LTST-C193TBKT-5A,LED_0-LA	LTST-C193TBKT-5A	1
LM75A-LM75AIMME/NOPB,LM75A-LM7A	LM75AIMME/NOPB	1
