STUFF LIST - 1  
24AA025E48T-I/SN-24AA025E48T-IB 24AA025E48T-I/SN         U18             

----------------

7X2RECPT_SMD_2MM-878321420,7X2B 878321420                J10             

----------------

ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA ADCLK948BCPZ             IC3             
ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA ADCLK948BCPZ             IC4             

----------------

ATMGA128_TQFP-ATMEGA128A-AU,ATB ATMEGA128A-AU            U4              

----------------

CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C151            
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C152            
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C153            
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C154            
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C157            
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C158            
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C159            
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C167            
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C169            
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C170            
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C174            

----------------

CAPCERSMDCL2_0402-1NF_X7R,50V CC0402_1NF_50V_10%_X7R   C18             
CAPCERSMDCL2_0402-1NF_X7R,50V CC0402_1NF_50V_10%_X7R   C21             
CAPCERSMDCL2_0402-1NF_X7R,50V CC0402_1NF_50V_10%_X7R   C22             
CAPCERSMDCL2_0402-1NF_X7R,50V CC0402_1NF_50V_10%_X7R   C123            
CAPCERSMDCL2_0402-1NF_X7R,50V CC0402_1NF_50V_10%_X7R   C124            
CAPCERSMDCL2_0402-1NF_X7R,50V CC0402_1NF_50V_10%_X7R   C125            

----------------

CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C5              
CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C6              
CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C7              
CAPCERSMDCL2_0402-1UF,16V CC0402_1.0UF_16V_10%_X5R C114            
